Model-Classifier,Average Score
GANBLR-LR,0.8635639295088112
RLiG-MLP,0.8586202115360582
RLiG-RF,0.85832435008124
GANBLR++-LR,0.8577990251218599
RLiG-LR,0.8500812398450195
GANBLR-MLP,0.847771958192726
GANBLR++-MLP,0.8431817116610424
GANBLR++-XGB,0.8370359955005625
GANBLR-XGB,0.8346808211473565
GANBLR++-RF,0.8340900746781653
GANBLR-RF,0.8298122890888638
TABSYN-LR,0.6517271278590177
TABSYN-MLP,0.6092568507061619
NB-RF,0.5947108173978253
NB-XGB,0.5947108173978253
NB-LR,0.5947108173978253
NB-MLP,0.5946473487689039
TABSYN-XGB,0.5866727596550432
TABSYN-RF,0.5801579490063743
CTGAN-MLP,0.5672201131108612
CTGAN-RF,0.5573512295338082
CTGAN-XGB,0.5533136482939632
CTGAN-LR,0.5021911323584553
GREAT-LR,0.26606439820022504
GREAT-XGB,0.2559142997750281
GREAT-MLP,0.24887904636920385
GREAT-RF,0.22651172509686288
