Model-Classifier,Average Score
RLiG-MLP,0.8513804382406746
RLiG-RF,0.8494802851348127
RLiG-LR,0.8269965899148971
GANBLR-LR,0.8240127654497733
GANBLR++-MLP,0.8161437206044698
GANBLR-MLP,0.8133276664280601
GANBLR++-LR,0.8054648353614889
GANBLR-XGB,0.8003198819742304
GANBLR-RF,0.7937606875845064
GANBLR++-RF,0.7929914300485167
GANBLR++-XGB,0.7881546766881413
CTGAN-XGB,0.5973589238845144
NB-MLP,0.5940805694742702
NB-LR,0.5936866201383918
NB-RF,0.5936866201383918
NB-XGB,0.5936866201383918
CTGAN-MLP,0.58415727153424
CTGAN-LR,0.579101795514197
CTGAN-RF,0.5755239401892944
TABSYN-MLP,0.5397205320925793
GREAT-LR,0.5009879802199952
TABSYN-RF,0.4995401853177444
TABSYN-LR,0.49731194822238134
GREAT-MLP,0.48303283822007476
GREAT-XGB,0.48054611068122166
TABSYN-XGB,0.4650404139823431
GREAT-RF,0.4544882884125507
