Model-Classifier,Average Score
CTABGAN-LR,0.8657287082636714
GANBLR-MLP,0.8634232430389895
CTABGAN-MLP,0.8631831235390063
GANBLR++-MLP,0.8602432309862778
GANBLR-LR,0.8564696406072169
CTABGAN-XGB,0.8558949396338351
CTABGAN-RF,0.8489681114556739
GANBLR-XGB,0.8421677088963906
GANBLR++-LR,0.8419008258868785
GANBLR++-RF,0.8395374070811453
GANBLR-RF,0.8322659624565227
GANBLR++-XGB,0.8317674907485391
RLIG-MLP,0.7597513454008719
RLIG-LR,0.7500800165544825
RLIG-XGB,0.6185729301337027
RLIG-RF,0.6113782949549335
NB-LR,0.5855461577065854
NB-RF,0.5832333327853851
NB-XGB,0.5821076215405532
NB-MLP,0.581884724804831
CTGAN-RF,0.5481838686411282
GREAT-LR,0.5420906415925566
GREAT-MLP,0.5288023496019156
DIST_SAMPL-MLP,0.5276374761763402
GREAT-XGB,0.5201326163592194
DIST_SAMPL-RF,0.4938618841747078
GREAT-RF,0.47146401769163604
DIST_SAMPL-LR,0.46317642997560327
DIST_SAMPL-XGB,0.4541870173019481
CTGAN-MLP,0.4510304703254351
CTGAN-LR,0.4396704188226011
CTGAN-XGB,0.41147654958947394
