,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-XGB,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-XGB,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-XGB,CTGAN-AVG,CTABGAN-LR,CTABGAN-MLP,CTABGAN-RF,CTABGAN-XGB,CTABGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-XGB,NB-AVG,RLIG-LR,RLIG-MLP,RLIG-RF,RLIG-XGB,RLIG-AVG,GREAT-LR,GREAT-MLP,GREAT-RF,GREAT-XGB,GREAT-AVG,DIST_SAMPL-LR,DIST_SAMPL-MLP,DIST_SAMPL-RF,DIST_SAMPL-XGB,DIST_SAMPL-AVG
Rice,0.862992125984252,0.8856517935258092,0.8659667541557305,0.8595800524934383,0.8685476815398075,0.8753280839895013,0.8935258092738408,0.8544181977252844,0.8671916010498689,0.8726159230096239,0.4178477690288714,0.4271216097987751,0.5339457567804023,0.3916010498687663,0.4426290463692038,0.8939632545931758,0.8944881889763779,0.8708661417322835,0.879790026246719,0.8847769028871392,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.7703412073490815,0.7769903762029746,0.6071741032370953,0.6251968503937009,0.694925634295713,0.5695538057742782,0.5691163604549431,0.4986876640419947,0.5540682414698163,0.547856517935258,0.4398950131233595,0.5131233595800525,0.4670166229221347,0.4380577427821522,0.4645231846019247
Car,0.862992125984252,0.8859142607174103,0.8664041994750656,0.8595800524934383,0.8687226596675415,0.8753280839895013,0.8910761154855642,0.852843394575678,0.8671916010498689,0.8716097987751531,0.4178477690288714,0.4268591426071741,0.5469816272965878,0.3916010498687663,0.4458223972003499,0.8931758530183727,0.8927384076990377,0.8851268591426072,0.8952755905511811,0.8915791776027996,0.5721784776902887,0.5715660542432196,0.5721784776902887,0.5721784776902887,0.5720253718285214,0.7703412073490815,0.7740157480314961,0.6083114610673667,0.6251968503937009,0.6944663167104114,0.5695538057742782,0.5692038495188102,0.4994750656167979,0.5540682414698163,0.5480752405949255,0.4398950131233595,0.4927384076990376,0.4783902012248469,0.4380577427821522,0.462270341207349
Adult,0.862992125984252,0.883639545056868,0.8659667541557305,0.8595800524934383,0.8680446194225722,0.8753280839895013,0.8856517935258092,0.8501312335958006,0.8671916010498689,0.8695756780402449,0.4178477690288714,0.426771653543307,0.5555555555555555,0.3916010498687663,0.4479440069991251,0.8939632545931758,0.8923009623797026,0.8718285214348208,0.8824146981627297,0.8851268591426072,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.7703412073490815,0.7648293963254593,0.6288713910761156,0.6251968503937009,0.6973097112860893,0.5695538057742782,0.5696412948381453,0.5008748906386701,0.5540682414698163,0.5485345581802274,0.4398950131233595,0.5387576552930884,0.4836395450568678,0.4380577427821522,0.475087489063867
Chess,0.862992125984252,0.8878390201224846,0.8659667541557305,0.8595800524934383,0.8690944881889763,0.8753280839895013,0.8931758530183727,0.8564304461942257,0.8671916010498689,0.8730314960629921,0.4178477690288714,0.4294838145231845,0.5496062992125984,0.3916010498687663,0.4471347331583552,0.8939632545931758,0.8917760279965004,0.8671041119860017,0.8782152230971129,0.8827646544181977,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.7703412073490815,0.783639545056868,0.6194225721784777,0.6251968503937009,0.699650043744532,0.5695538057742782,0.5718285214348207,0.5017497812773404,0.5519685039370079,0.5487751531058618,0.4398950131233595,0.5027121609798776,0.4875765529308837,0.4380577427821522,0.4670603674540682
TicTacToe,0.862992125984252,0.8839895013123359,0.8669291338582678,0.8595800524934383,0.8683727034120735,0.8753280839895013,0.8908136482939631,0.8532808398950132,0.8671916010498689,0.8716535433070867,0.4178477690288714,0.4336832895888013,0.5434820647419073,0.3916010498687663,0.4466535433070866,0.8926509186351707,0.8910761154855642,0.8820647419072616,0.8944881889763779,0.8900699912510935,0.5721784776902887,0.5723534558180228,0.5721784776902887,0.5721784776902887,0.5722222222222223,0.7703412073490815,0.779002624671916,0.6016622922134733,0.6251968503937009,0.6940507436570429,0.5695538057742782,0.5717410323709536,0.5013998250218723,0.5519685039370079,0.5486657917760279,0.4398950131233595,0.5464566929133858,0.4808398950131233,0.4380577427821522,0.4763123359580052
letter_rocog,0.862992125984252,0.8850393700787401,0.8662292213473316,0.8595800524934383,0.8684601924759404,0.8753280839895013,0.894663167104112,0.8518810148731409,0.8671916010498689,0.8722659667541558,0.4178477690288714,0.426334208223972,0.5383202099737533,0.3916010498687663,0.4435258092738408,0.8981627296587926,0.888888888888889,0.879090113735783,0.8960629921259842,0.8905511811023622,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.7703412073490815,0.783639545056868,0.6119860017497812,0.6251968503937009,0.6977909011373579,0.5695538057742782,0.563079615048119,0.4972003499562554,0.5519685039370079,0.5454505686789151,0.4398950131233595,0.4784776902887138,0.4711286089238845,0.4380577427821522,0.4568897637795275
Magic,0.862992125984252,0.8802274715660543,0.8649168853893263,0.8595800524934383,0.8669291338582678,0.8753280839895013,0.8932633420822397,0.8506561679790026,0.8671916010498689,0.8716097987751531,0.4178477690288714,0.4258967629046369,0.5355205599300087,0.3916010498687663,0.4427165354330709,0.8934383202099738,0.8909886264216973,0.8790026246719161,0.8908136482939634,0.8885608048993876,0.5721784776902887,0.5725284339457568,0.5721784776902887,0.5721784776902887,0.5722659667541558,0.7703412073490815,0.7611548556430447,0.6181977252843395,0.6251968503937009,0.6937226596675415,0.5695538057742782,0.5583552055993001,0.5019247594050743,0.5519685039370079,0.5454505686789152,0.4398950131233595,0.5494313210848644,0.4995625546806648,0.4380577427821522,0.4817366579177602
Nursery,0.862992125984252,0.8874890638670166,0.8677165354330708,0.8595800524934383,0.8694444444444445,0.8753280839895013,0.8902012248468942,0.8531058617672791,0.8671916010498689,0.8714566929133857,0.4178477690288714,0.4251968503937007,0.536832895888014,0.3916010498687663,0.4428696412948381,0.8934383202099738,0.8923009623797024,0.8909886264216973,0.8986876640419948,0.8938538932633421,0.5721784776902887,0.5670166229221347,0.5721784776902887,0.5721784776902887,0.5708880139982503,0.7703412073490815,0.7770778652668416,0.6128608923884514,0.6251968503937009,0.6963692038495188,0.5695538057742782,0.5711286089238845,0.4976377952755905,0.5519685039370079,0.5475721784776902,0.4398950131233595,0.5213473315835521,0.4574803149606299,0.4380577427821522,0.4641951006124234
'Room,0.862992125984252,0.8886264216972878,0.8643044619422572,0.8595800524934383,0.8688757655293088,0.8753280839895013,0.8825021872265966,0.852668416447944,0.8671916010498689,0.8694225721784776,0.4178477690288714,0.4254593175853018,0.5508311461067367,0.3916010498687663,0.4464348206474191,0.8937007874015747,0.8908136482939631,0.8780402449693788,0.8892388451443569,0.8879483814523184,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.7703412073490815,0.76920384951881,0.6216097987751531,0.6251968503937009,0.6965879265091864,0.5695538057742782,0.568591426071741,0.5016622922134734,0.5540682414698163,0.5484689413823273,0.4398950131233595,0.4687664041994751,0.4853018372703412,0.4380577427821522,0.458005249343832
Occupancy',0.6837160751565762,0.6729297146833683,0.6440501043841337,0.6231732776617953,0.6559672929714683,0.7150313152400836,0.6680584551148225,0.6771050800278356,0.6544885177453027,0.6786708420320112,0.6033402922755742,0.6343075852470424,0.5678496868475992,0.5605427974947808,0.591510090466249,0.6534446764091858,0.652748782185108,0.6256089074460682,0.6022964509394573,0.6335247042449547,0.68580375782881,0.6405706332637439,0.6670146137787056,0.6565762004175366,0.662491301322199,0.5981210855949897,0.6412665274878219,0.558107167710508,0.5688935281837161,0.5915970772442589,0.336116910229645,0.267223382045929,0.2595685455810717,0.2724425887265135,0.2838378566457898,0.6377870563674322,0.6336116910229644,0.6120389700765484,0.5751565762004176,0.6146485734168406
