Model-Classifier,Average Score
RLiG-MLP,0.8613631548009624
RLiG-RF,0.8590537510936134
CTABGAN-LR,0.8532798146325459
CTABGAN-MLP,0.8523519520997376
RLiG-LR,0.8519837119969379
GANBLR-MLP,0.8466446576990375
GANBLR-LR,0.8432783792650917
CTABGAN-XGB,0.8420173064304461
GANBLR++-MLP,0.8405383653215223
CTABGAN-RF,0.8332282439304461
GANBLR-XGB,0.8300678723753281
GANBLR++-LR,0.8280429790026247
GANBLR++-RF,0.8213095677493438
GANBLR-RF,0.8180304366251093
GANBLR++-XGB,0.8156373031496063
NB-RF,0.5840980082567804
NB-LR,0.583989501312336
NB-MLP,0.581012822615923
NB-XGB,0.5794322096456693
CTGAN-RF,0.5436719091754155
GREAT-LR,0.5392214156824147
GREAT-MLP,0.5282006985454943
GREAT-XGB,0.5248164780183727
TABSYN-MLP,0.5185546875
GREAT-RF,0.48642808809055116
TABSYN-RF,0.48412893700787396
TABSYN-LR,0.4682014845800525
CTGAN-MLP,0.4538674609033245
TABSYN-XGB,0.4463018782808399
CTGAN-LR,0.4436259432414698
CTGAN-XGB,0.4203883694225722
