,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-XGB,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-XGB,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-XGB,CTGAN-AVG,CTABGAN-LR,CTABGAN-MLP,CTABGAN-RF,CTABGAN-XGB,CTABGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-XGB,NB-AVG,RLiG-LR,RLiG-MLP,RLiG-RF,RLiG-AVG,GREAT-LR,GREAT-MLP,GREAT-RF,GREAT-XGB,GREAT-AVG,TABSYN-LR,TABSYN-MLP,TABSYN-RF,TABSYN-XGB,TABSYN-AVG
Adult,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8766404199475065,0.8757655293088363,0.8722659667541558,0.8713910761154856,0.874015748031496,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8744531933508312,0.8779527559055119,0.8779527559055119,0.8767862350539515,0.5708661417322834,0.5717410323709536,0.5083114610673666,0.5603674540682415,0.5528215223097113,0.4435695538057743,0.5454943132108486,0.4479440069991251,0.4304461942257218,0.4668635170603674
Car,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8858267716535432,0.8853893263342082,0.847769028871391,0.868766404199475,0.8719378827646543,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.874015748031496,0.8744531933508313,0.8810148731408574,0.8764946048410615,0.5708661417322834,0.5699912510936133,0.5153105861767279,0.5603674540682415,0.5541338582677166,0.4435695538057743,0.468503937007874,0.4663167104111986,0.4304461942257218,0.4522090988626422
Chess,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8871391076115486,0.8814523184601925,0.8639545056867891,0.8792650918635171,0.8779527559055119,0.5721784776902887,0.5708661417322834,0.5721784776902887,0.5721784776902887,0.5718503937007874,0.873578302712161,0.8783902012248469,0.8762029746281715,0.8760571595217264,0.5708661417322834,0.568241469816273,0.5131233595800525,0.5603674540682415,0.5531496062992126,0.4435695538057743,0.4973753280839895,0.4680664916885389,0.4304461942257218,0.4598643919510061
Connect-4,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8727034120734908,0.8744531933508313,0.8608923884514436,0.8753280839895013,0.8708442694663167,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8727034120734908,0.8753280839895013,0.8766404199475065,0.8748906386701663,0.5708661417322834,0.5664916885389326,0.5170603674540682,0.5577427821522309,0.5530402449693788,0.4435695538057743,0.4965004374453193,0.4645669291338583,0.4304461942257218,0.4587707786526684
Credit,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8818897637795274,0.8845144356955381,0.8744531933508313,0.8805774278215223,0.8803587051618549,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8713910761154856,0.8766404199475066,0.8705161854768154,0.8728492271799358,0.5708661417322834,0.5717410323709536,0.5188101487314086,0.5577427821522309,0.5547900262467191,0.4435695538057743,0.4588801399825022,0.5065616797900262,0.4304461942257218,0.4598643919510061
letter_rocog,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.8818897637795277,0.873578302712161,0.8858267716535432,0.8814523184601925,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8639545056867891,0.8748906386701663,0.8748906386701663,0.8712452610090405,0.5708661417322834,0.5717410323709536,0.5122484689413823,0.5577427821522309,0.5531496062992126,0.4435695538057743,0.4768153980752405,0.4772528433945757,0.4304461942257218,0.4570209973753281
Loan,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.884076990376203,0.8643919510061243,0.8753280839895013,0.8770778652668416,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8705161854768154,0.8722659667541558,0.8727034120734908,0.8718285214348206,0.5708661417322834,0.5713035870516185,0.5144356955380577,0.5577427821522309,0.5535870516185476,0.4435695538057743,0.4868766404199475,0.4663167104111985,0.4304461942257218,0.4568022747156605
Magic,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8858267716535432,0.879265091863517,0.8670166229221348,0.8818897637795274,0.8784995625546808,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.84251968503937,0.8267716535433071,0.8285214348206474,0.8326042578011082,0.5708661417322834,0.5616797900262467,0.5135608048993876,0.5577427821522309,0.5509623797025371,0.4435695538057743,0.5201224846894138,0.4562554680664917,0.4304461942257218,0.4625984251968504
'Maternal,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.884076990376203,0.8670166229221348,0.8674540682414699,0.8757655293088363,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8867016622922135,0.8792650918635171,0.8871391076115486,0.8843686205890929,0.5708661417322834,0.5691163604549431,0.515310586176728,0.5603674540682415,0.5539151356080491,0.4435695538057743,0.5341207349081365,0.458442694663167,0.4304461942257218,0.4666447944006999
Health',0.6822916666666666,0.6788194444444445,0.6475694444444445,0.65625,0.6662326388888888,0.7291666666666666,0.6875,0.6545138888888888,0.6510416666666666,0.6805555555555554,0.609375,0.6475694444444445,0.5694444444444443,0.5520833333333334,0.5946180555555557,0.6510416666666666,0.6475694444444445,0.609375,0.6145833333333334,0.6306423611111112,0.6666666666666666,0.670138888888889,0.673611111111111,0.6302083333333334,0.66015625,0.7239583333333334,0.8333333333333334,0.8263888888888888,0.7945601851851851,0.3177083333333333,0.2482638888888888,0.2916666666666667,0.28125,0.2847222222222221,0.640625,0.6493055555555555,0.5729166666666666,0.5572916666666666,0.6050347222222222
