Model-Classifier,Average Score
RLIG-RF,0.8634221733312747
RLIG-MLP,0.862820686017189
RLIG-LR,0.8578833436261645
CTABGAN-LR,0.8548855565848386
CTABGAN-MLP,0.853319116360455
GANBLR-MLP,0.8444222505275075
GANBLR-LR,0.8442373012197004
CTABGAN-XGB,0.8437355257063456
GANBLR++-MLP,0.8415836807163809
GANBLR++-LR,0.8321126679018063
GANBLR-XGB,0.8315722942720396
CTABGAN-RF,0.8298136675930214
GANBLR++-RF,0.822762274201019
GANBLR-RF,0.8213084118161699
GANBLR++-XGB,0.8158387370696311
NB-RF,0.5838053561319541
NB-LR,0.5832947352169214
NB-MLP,0.5805623102259276
NB-XGB,0.5790055195306469
CTGAN-RF,0.5435209845092893
GREAT-LR,0.5410828701559364
GREAT-MLP,0.5294961980855333
GREAT-XGB,0.5272164968349544
DIST_SAMPL-MLP,0.5082286359425661
GREAT-RF,0.48902205239051
DIST_SAMPL-RF,0.4770670899593433
DIST_SAMPL-LR,0.46675254747568323
CTGAN-MLP,0.45039418326385666
DIST_SAMPL-XGB,0.44536919098348
CTGAN-LR,0.44223309402501154
CTGAN-XGB,0.4192816890535742
