,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-XGB,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-XGB,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-XGB,CTGAN-AVG,CTABGAN-LR,CTABGAN-MLP,CTABGAN-RF,CTABGAN-XGB,CTABGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-XGB,NB-AVG,RLIG-LR,RLIG-MLP,RLIG-RF,RLIG-AVG,GREAT-LR,GREAT-MLP,GREAT-RF,GREAT-XGB,GREAT-AVG,DIST_SAMPL-LR,DIST_SAMPL-MLP,DIST_SAMPL-RF,DIST_SAMPL-XGB,DIST_SAMPL-AVG
Adult,0.5547138908793121,0.5544409185518818,0.4909748524243355,0.5531784215375166,0.5383270208482615,0.5191933667724434,0.521206537687242,0.4636776196813048,0.5201146483775207,0.5060480431296278,0.5060906950557887,0.5061589381376463,0.5062613027604327,0.5070119766608661,0.5063807281536835,0.5024055686354796,0.5010065854573993,0.5032586071586992,0.4975944313645204,0.5010662981540247,0.5061930596785751,0.5061930596785751,0.5061930596785751,0.5061930596785751,0.5061930596785751,0.5508922782952878,0.480567782441055,0.5068072474152933,0.5127557693838787,0.0,0.0,0.0008189169822909,0.0,0.0002047292455727,0.5061930596785751,0.5052035349916402,0.5061589381376463,0.5046575903367796,0.5055532807861604
Car,0.8786127167630058,0.8314065510597303,0.8776493256262042,0.8901734104046243,0.8694605009633912,0.846820809248555,0.7533718689788054,0.7996146435452793,0.8092485549132947,0.8022639691714838,0.6994219653179191,0.7003853564547207,0.4913294797687861,0.4508670520231213,0.5855009633911368,0.6994219653179191,0.6965317919075145,0.5770712909441233,0.5578034682080925,0.6327071290944123,0.7254335260115607,0.6782273603082851,0.6743737957610789,0.7167630057803468,0.6986994219653179,0.8911368015414259,0.8949903660886319,0.861271676300578,0.882466281310212,0.2601156069364161,0.2447013487475915,0.2996146435452794,0.3121387283236994,0.2791425818882466,0.6994219653179191,0.697495183044316,0.6021194605009633,0.6213872832369942,0.6551059730250481
Chess,0.946875,0.9416666666666668,0.9401041666666666,0.94375,0.9430989583333336,0.9109374999999998,0.8697916666666666,0.8260416666666667,0.8874999999999998,0.8735677083333334,0.4421875,0.490625,0.4567708333333333,0.45625,0.4614583333333333,0.5484375,0.5411458333333333,0.5151041666666667,0.521875,0.5316406250000001,0.8359375,0.7770833333333332,0.7645833333333334,0.7546874999999998,0.7830729166666668,0.865625,0.8510416666666667,0.8473958333333332,0.8546874999999999,,,,,,0.4765625,0.5067708333333333,0.5369791666666667,0.5640625,0.52109375
Connect-4,0.7390467732386027,0.7655170712453128,0.7358397473850404,0.7538484310242747,0.7485630057233076,0.6584517465956187,0.6583283994474048,0.6335602920860469,0.6568975725281232,0.6518095026642984,0.658303730017762,0.658303730017762,0.6581063745806196,0.658303730017762,0.6582543911584765,0.639801657785672,0.6386175251628182,0.6263568186303533,0.6386175251628182,0.6358483816854155,0.5741563055062167,0.5927817248865206,0.6295638444839154,0.5905861456483126,0.5967720051312413,0.7231843299782909,0.6509522399842116,0.6991069666469311,0.6910811788698111,0.0954706927175843,0.0954706927175843,0.0954953621472271,0.0955447010065127,0.0954953621472271,0.658303730017762,0.658303730017762,0.6547513321492007,0.6577116637063352,0.6572676139727649
covtype,0.6895002710773387,0.7006302189559076,0.6822256453505217,,0.6907853784612561,0.6754042494599967,0.6759320614212484,0.6293813412734611,,0.6602392173849022,0.4248685490047588,0.4320771982364196,0.4245214552693706,,0.427155734170183,0.1750557214529745,0.1554377540453631,0.1628730181951699,0.1633434592910682,0.1641774882461439,0.6832784007297574,0.4316555223760717,0.1747659985829396,,0.4298999738962563,0.6822199082639863,0.6447337848420437,0.661629504688634,0.6628610659315547,0.0,2.0079802873706644e-05,0.0020940365854008,0.0,0.0005285290970686,0.4874142664130874,0.4876351442446982,0.4302384620018416,,0.4684292908865424
Credit,0.816793893129771,0.7786259541984734,0.7735368956743002,0.7786259541984734,0.7868956743002545,0.8091603053435114,0.7531806615776081,0.7964376590330788,0.7786259541984734,0.7843511450381678,0.3358778625954198,0.4122137404580153,0.4071246819338422,0.4503816793893129,0.4013994910941476,0.5190839694656488,0.4580152671755725,0.5623409669211196,0.5648854961832062,0.5260814249363868,0.7938931297709924,0.732824427480916,0.737913486005089,0.549618320610687,0.7035623409669212,0.8091603053435114,0.7888040712468193,0.8040712468193384,0.8006785411365563,,,,,,0.6106870229007634,0.5725190839694656,0.5292620865139949,0.5419847328244275,0.5636132315521629
Default,0.8171666666666667,0.8143888888888888,0.797,0.8158333333333333,0.8110972222222222,0.819,0.8180000000000001,0.7965,0.818,0.812875,0.7788333333333334,0.7787777777777779,0.7247222222222223,0.7786666666666666,0.76525,0.8048333333333333,0.8032777777777778,0.7858333333333333,0.7986666666666666,0.7981527777777777,0.8023333333333333,0.751,0.7797222222222223,0.7808333333333334,0.7784722222222222,0.8070555555555555,0.7957777777777778,0.7910555555555555,0.7979629629629629,0.7755,0.7774444444444445,0.777888888888889,0.7775,0.7770833333333332,0.7788333333333334,0.7776111111111111,0.7177222222222222,0.7788333333333334,0.763249999999999
letter_recog,0.63775,0.6458333333333334,0.6065833333333334,0.6395,0.6324166666666667,0.62575,0.6145833333333334,0.5692499999999999,0.6,0.6023958333333335,0.021,0.0300833333333333,0.0393333333333333,0.026,0.0291041666666666,0.06225,0.0529166666666666,0.0386666666666666,0.045,0.0497083333333333,0.04025,0.0380833333333333,0.04,0.04025,0.0396458333333333,0.6244999999999999,0.6136666666666667,0.5793333333333334,0.6058333333333333,0.03675,0.03675,0.0385,0.03725,0.0373125,,,,,
Magic,0.7944269190325972,0.8041535226077813,0.7869786189975464,0.8062565720294427,0.7979539081668419,0.768664563617245,0.7641955835962145,0.758149316508938,0.7662986330178759,0.7643270241850683,0.4411146161934805,0.5009638976515948,0.5394321766561514,0.452944269190326,0.4836137399228882,0.7465825446898003,0.7393971258324571,0.728093235191027,0.75,0.741018226428321,0.6482649842271293,0.6482649842271293,0.6482649842271293,0.6482649842271293,0.6482649842271293,0.7934630213810024,0.7888187872415001,0.7850508236943569,0.7891108774389531,0.2415878023133543,0.2322117069751139,0.2156501927795303,0.2279179810725552,0.2293419207851384,0.64931650893796,0.64931650893796,0.6076936558009113,0.6653522607781283,0.6429197336137399
Maternal_Health,0.6600985221674877,0.6059113300492611,0.5845648604269295,0.5615763546798029,0.6030377668308703,0.5911330049261084,0.5451559934318554,0.535303776683087,0.4630541871921181,0.5336617405582923,0.2068965517241379,0.2922824302134647,0.3596059113300492,0.3596059113300492,0.3045977011494253,0.2857142857142857,0.2824302134646962,0.3579638752052545,0.3201970443349753,0.3115763546798029,0.3990147783251231,0.3990147783251231,0.3990147783251231,0.3990147783251231,0.3990147783251231,0.6962233169129721,0.6863711001642036,0.7077175697865353,0.6967706622879036,,,,,,0.3842364532019704,0.3957307060755337,0.367816091954023,0.3743842364532019,0.3805418719211822
