,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-XGB,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-XGB,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-XGB,CTGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-XGB,NB-AVG,RLiG-LR,RLiG-MLP,RLiG-RF,RLiG-AVG,GREAT-LR,GREAT-MLP,GREAT-RF,GREAT-XGB,GREAT-AVG,TABSYN-LR,TABSYN-MLP,TABSYN-RF,TABSYN-XGB,TABSYN-AVG
Magic,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.5721784776902887,0.5656167979002625,0.6093613298337708,0.6482939632545932,0.5988626421697288,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8797025371828521,0.8722659667541558,0.8700787401574802,0.8740157480314962,0.5708661417322834,0.5708661417322834,0.5148731408573929,0.5603674540682415,0.5542432195975504,0.4435695538057743,0.5218722659667542,0.4619422572178477,0.4304461942257218,0.4644575678040245
Nursery,0.734375,0.7170138888888888,0.673611111111111,0.6354166666666666,0.6901041666666666,0.7291666666666666,0.6892361111111112,0.6736111111111112,0.6510416666666666,0.6857638888888888,0.609375,0.6371527777777778,0.5486111111111112,0.5520833333333334,0.5868055555555557,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.701388888888889,0.8263888888888888,0.8055555555555557,0.7777777777777778,0.3177083333333333,0.2517361111111111,0.2829861111111111,0.2760416666666667,0.2821180555555556,0.640625,0.6024305555555555,0.5642361111111112,0.5572916666666666,0.5911458333333334
Adult,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.5721784776902887,0.5656167979002625,0.6093613298337708,0.6482939632545932,0.5988626421697288,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.873578302712161,0.8766404199475066,0.873578302712161,0.8745990084572761,0.5708661417322834,0.563429571303587,0.5135608048993876,0.5577427821522309,0.5513998250218722,0.4435695538057743,0.4960629921259842,0.4934383202099737,0.4304461942257218,0.4658792650918635
PokerHand,0.8451443569553806,0.86351706,0.8442694663167104,0.8412073490813649,0.8485345581802276,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.858267717,0.8566272965879266,0.5800524934383202,0.5691163604549431,0.4864391951006124,0.5800524934383202,0.553915136,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8700787401574802,0.8696412948381452,0.8709536307961505,0.8702245552639253,0.570866142,0.571303587,0.516185477,0.530183727,0.547134733,0.4435695538057743,0.4916885389326335,0.4746281714785651,0.4304461942257218,0.4600831146106737
TicTacToe,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.5721784776902887,0.5656167979002625,0.6093613298337708,0.6482939632545932,0.5988626421697288,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8832020997375327,0.873578302712161,0.879265091863517,0.878681831437737,0.5708661417322834,0.5708661417322834,0.5144356955380577,0.5603674540682415,0.5541338582677166,0.4435695538057743,0.4881889763779528,0.4540682414698163,0.4304461942257218,0.4540682414698163
Chess,0.6822916666666666,0.6666666666666666,0.6475694444444445,0.65625,0.6631944444444445,0.7291666666666666,0.6701388888888888,0.6684027777777778,0.6510416666666666,0.6796875,0.609375,0.65625,0.5902777777777778,0.5520833333333334,0.6019965277777778,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6892361111111112,0.7690972222222222,0.7743055555555557,0.7442129629629629,0.3177083333333333,0.28125,0.2899305555555556,0.2916666666666667,0.2951388888888889,0.640625,0.6475694444444443,0.5746527777777778,0.5572916666666666,0.6050347222222222
letter_rocog,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.5721784776902887,0.5656167979002625,0.6093613298337708,0.6482939632545932,0.5988626421697288,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8893263342082239,0.8910761154855642,0.8888888888888888,0.8897637795275589,0.5708661417322834,0.5682414698162729,0.5174978127734033,0.5603674540682415,0.5542432195975503,0.4435695538057743,0.5437445319335082,0.4562554680664917,0.4304461942257218,0.468503937007874
Connect-4,0.8451443569553806,0.86351706,0.8442694663167104,0.8412073490813649,0.8485345581802276,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.858267717,0.8566272965879266,0.5288713910761155,0.5306211723534558,0.4728783902012248,0.4448818897637794,0.4943132108486439,0.5721784776902887,0.5713035870516185,0.5721784776902887,0.5721784776902887,0.5719597550306211,0.8748906386701663,0.8810148731408574,0.8827646544181977,0.8795567220764071,0.5616797900262467,0.5774278215223098,0.5323709536307961,0.552493438,0.5559930008748907,0.4435695538057743,0.4794400699912511,0.4886264216972879,0.4304461942257218,0.4605205599300088
Rice,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.5721784776902887,0.5656167979002625,0.6093613298337708,0.6482939632545932,0.5988626421697288,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8775153105861767,0.8818897637795277,0.873140857392826,0.8775153105861767,0.5708661417322834,0.5656167979002625,0.5161854768153981,0.5603674540682415,0.5532589676290464,0.4435695538057743,0.5013123359580053,0.479440069991251,0.4304461942257218,0.4636920384951881
Car,0.6822916666666666,0.6857638888888888,0.6475694444444445,0.65625,0.66796875,0.7291666666666666,0.6440972222222222,0.6631944444444445,0.6510416666666666,0.671875,0.609375,0.6388888888888888,0.5763888888888888,0.5520833333333334,0.5941840277777778,0.6510416666666666,0.65625,0.6510416666666666,0.6510416666666666,0.65234375,0.6840277777777778,0.7482638888888888,0.7517361111111112,0.7280092592592592,0.3177083333333333,0.2256944444444444,0.2847222222222222,0.2760416666666667,0.2760416666666667,0.640625,0.6493055555555555,0.5590277777777778,0.5572916666666666,0.6015624999999999
