,Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,target
1663,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
263,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
1823,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1665,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
287,2.0,3.0,3.0,2.0,3.0,2.0,3.0,0
3061,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
501,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0
2349,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
320,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
1896,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
2872,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1
2398,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3007,1.0,0.0,0.0,3.0,0.0,1.0,3.0,1
2805,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
470,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
432,3.0,4.0,4.0,2.0,4.0,3.0,2.0,0
1273,2.0,2.0,2.0,3.0,3.0,2.0,0.0,0
3257,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3576,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1
1456,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0
3428,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
905,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0
2675,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
2923,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
864,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2360,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
497,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
2697,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1
370,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1227,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0
3047,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
331,2.0,2.0,3.0,2.0,3.0,2.0,3.0,0
1358,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
839,2.0,3.0,3.0,2.0,4.0,2.0,4.0,0
1632,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
2645,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
461,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0
3169,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
68,2.0,3.0,3.0,2.0,4.0,2.0,4.0,0
1426,2.0,2.0,3.0,1.0,4.0,2.0,3.0,0
2030,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1
3547,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1
1055,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
2363,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
3384,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
2624,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
2301,1.0,2.0,2.0,1.0,4.0,1.0,0.0,1
1839,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2081,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2196,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
2834,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
67,2.0,3.0,3.0,2.0,4.0,2.0,1.0,0
1230,3.0,4.0,3.0,3.0,3.0,3.0,0.0,0
114,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
3649,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1
489,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
407,2.0,3.0,2.0,2.0,3.0,2.0,2.0,0
2559,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
1320,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2020,1.0,0.0,0.0,2.0,2.0,1.0,3.0,1
0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,0
1753,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1
1190,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
691,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3700,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1
1979,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
516,1.0,2.0,2.0,1.0,4.0,1.0,2.0,0
109,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0
1952,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3351,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
518,1.0,2.0,2.0,2.0,3.0,2.0,2.0,0
3654,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
579,3.0,4.0,3.0,3.0,3.0,3.0,0.0,0
2759,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
2055,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1
364,2.0,3.0,2.0,2.0,3.0,2.0,2.0,0
3507,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
1867,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
321,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0
3352,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
2785,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
118,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0
1693,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
2477,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1
238,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2544,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
303,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3558,0.0,0.0,1.0,1.0,3.0,0.0,4.0,1
2411,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
175,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1469,2.0,2.0,2.0,2.0,3.0,2.0,4.0,0
1540,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
3322,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
927,4.0,4.0,3.0,4.0,3.0,4.0,1.0,0
81,2.0,3.0,3.0,2.0,4.0,2.0,3.0,0
247,4.0,4.0,4.0,3.0,3.0,4.0,2.0,0
2241,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
3682,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1
2753,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1
415,2.0,3.0,2.0,2.0,3.0,2.0,1.0,0
1707,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1
3438,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1
1768,0.0,0.0,1.0,1.0,3.0,0.0,3.0,1
1295,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3609,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
258,3.0,4.0,3.0,3.0,3.0,4.0,1.0,0
1591,3.0,3.0,2.0,4.0,1.0,3.0,2.0,0
1928,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
307,3.0,3.0,3.0,4.0,3.0,3.0,2.0,0
2202,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
652,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0
468,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
2707,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1
2587,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1
531,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3315,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
3278,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2075,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
3640,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
736,2.0,2.0,2.0,3.0,3.0,2.0,1.0,0
3082,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
1389,2.0,3.0,2.0,3.0,3.0,2.0,3.0,0
174,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0
1234,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3361,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
887,3.0,4.0,3.0,3.0,3.0,3.0,2.0,0
551,2.0,3.0,2.0,3.0,3.0,2.0,0.0,0
2523,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1
1796,0.0,1.0,1.0,1.0,3.0,0.0,2.0,1
765,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
3168,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3202,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2730,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
1545,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
467,2.0,3.0,3.0,2.0,3.0,3.0,1.0,0
1436,2.0,3.0,3.0,2.0,3.0,2.0,3.0,0
2810,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
2435,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2295,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
2439,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
3109,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
1850,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1
1855,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2297,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1
1259,2.0,3.0,3.0,2.0,4.0,2.0,0.0,0
958,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1945,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
2029,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1
714,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0
3392,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1
3417,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1
546,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0
3761,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1212,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0
2038,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
298,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0
3469,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1
176,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0
290,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
3562,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1
2481,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1
2108,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
3549,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
310,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3152,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
2686,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3076,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1
404,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0
2326,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
909,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
