,top_left_square,top_middle_square,top_right_square,middle_left_square,middle_middle_square,middle_right_square,bottom_left_square,bottom_middle_square,bottom_right_square,target
59,2,2,2,0,1,1,1,0,2,1
866,1,0,2,0,1,0,2,2,1,0
132,2,1,2,1,1,2,1,2,2,1
688,2,1,2,0,1,0,2,1,0,0
183,2,1,1,0,2,0,1,2,2,1
398,1,1,2,0,2,0,2,2,1,1
106,2,2,0,1,2,1,1,0,2,1
830,1,1,1,2,0,0,2,0,2,0
578,0,1,0,2,2,2,1,1,2,1
564,0,1,1,2,2,2,1,2,0,1
184,2,1,1,0,2,0,0,0,2,1
442,1,0,2,1,0,2,2,1,2,1
141,2,1,2,0,2,0,1,1,2,1
865,1,0,2,0,1,2,0,2,1,0
215,2,1,0,1,0,1,2,2,2,1
239,2,0,1,2,2,2,1,1,0,1
852,1,0,2,2,1,2,0,0,1,0
378,1,1,2,2,1,1,2,2,2,1
821,1,1,1,2,1,2,2,0,2,0
23,2,2,2,1,1,2,1,1,2,1
663,2,2,0,1,2,2,1,1,1,0
90,2,2,1,1,2,1,0,2,0,1
377,1,1,2,2,1,2,0,0,2,1
338,1,2,1,0,2,1,2,2,0,1
621,0,0,0,2,2,2,1,0,1,1
240,2,0,1,2,2,2,1,0,1,1
696,2,1,1,0,1,2,2,1,2,0
127,2,1,2,1,2,1,0,0,2,1
506,0,2,1,1,2,0,1,2,2,1
14,2,2,2,1,2,1,1,1,2,1
64,2,2,2,0,1,0,1,2,1,1
305,1,2,2,1,2,0,0,2,1,1
382,1,1,2,1,2,2,2,1,2,1
427,1,0,2,2,2,0,2,1,1,1
86,2,2,1,1,2,2,1,2,1,1
373,1,1,2,2,2,1,2,0,0,1
355,1,2,0,1,2,0,0,2,0,1
343,1,2,1,0,1,0,2,2,2,1
579,0,1,0,2,2,2,1,0,0,1
323,1,2,1,2,2,2,0,0,1,1
779,1,2,1,2,1,0,2,2,1,0
224,2,0,2,2,1,1,2,0,1,1
876,1,0,0,1,2,0,1,2,2,0
209,2,1,0,1,2,1,2,0,2,1
25,2,2,2,1,1,2,0,1,0,1
882,0,2,2,1,2,2,1,1,1,0
296,1,2,2,2,2,1,1,2,1,1
84,2,2,1,2,0,1,2,1,0,1
213,2,1,0,1,2,0,0,0,2,1
644,2,2,1,1,1,1,2,0,2,0
336,1,2,1,0,2,2,1,2,0,1
381,1,1,2,1,2,2,2,2,1,1
360,1,2,0,0,2,1,1,2,2,1
754,1,2,2,1,1,2,2,0,1,0
339,1,2,1,0,2,1,0,2,2,1
625,0,0,0,0,1,1,2,2,2,1
92,2,2,1,1,2,0,1,2,0,1
649,2,2,1,0,2,1,2,1,1,0
30,2,2,2,1,1,0,1,0,2,1
128,2,1,2,1,2,0,2,1,0,1
947,2,1,2,2,1,1,1,2,2,0
503,0,2,1,1,2,1,2,2,0,1
401,1,1,2,0,1,2,2,0,2,1
931,0,0,2,1,1,1,2,0,2,0
483,1,0,0,0,0,1,2,2,2,1
611,0,0,1,2,2,2,1,0,0,1
88,2,2,1,1,2,1,2,1,2,1
780,1,2,1,2,1,0,1,2,2,0
144,2,1,1,2,2,2,2,1,1,1
51,2,2,2,0,2,1,1,0,1,1
856,1,0,2,1,2,2,1,2,1,0
762,1,2,2,1,0,2,1,2,1,0
643,2,2,1,1,1,1,2,2,0,0
593,0,0,2,1,2,1,2,1,2,1
204,2,1,0,2,0,1,2,0,0,1
801,1,2,0,0,1,2,0,2,1,0
480,1,0,0,1,1,2,2,2,2,1
71,2,2,2,0,0,1,1,1,2,1
13,2,2,2,1,2,1,1,2,1,1
303,1,2,2,1,2,0,2,1,0,1
759,1,2,2,1,1,1,0,2,2,0
390,1,1,2,1,0,2,0,2,2,1
598,0,0,2,1,1,2,1,2,2,1
367,1,1,2,2,2,2,1,1,2,1
685,2,1,2,0,1,2,2,1,1,0
436,1,0,2,1,2,0,2,2,1,1
552,0,1,2,0,2,1,2,2,1,1
823,1,1,1,2,0,2,2,2,1,0
229,2,0,2,1,2,1,1,0,2,1
110,2,2,0,1,2,0,1,1,2,1
855,1,0,2,2,1,0,0,2,1,0
317,1,2,2,0,0,2,1,1,2,1
448,1,0,2,0,2,1,2,1,2,1
49,2,2,2,1,0,0,0,0,1,1
568,0,1,1,2,2,2,0,0,0,1
387,1,1,2,1,2,0,2,0,2,1
440,1,0,2,1,1,2,0,2,2,1
365,1,1,2,2,2,2,2,1,1,1
358,1,2,0,0,2,2,1,2,1,1
21,2,2,2,1,1,2,2,1,1,1
404,1,1,2,0,0,2,2,1,2,1
486,0,2,2,1,2,1,1,2,0,1
951,1,2,2,2,2,1,1,1,2,0
667,2,2,0,1,1,1,1,2,2,0
330,1,2,1,1,2,2,0,2,0,1
652,2,2,1,0,1,2,1,1,2,0
346,1,2,0,2,2,2,1,0,1,1
735,2,0,0,2,0,2,1,1,1,0
467,1,0,1,1,2,0,2,2,2,1
832,1,1,1,1,2,2,2,2,0,0
420,1,1,0,0,1,2,2,2,2,1
138,2,1,2,0,2,1,1,0,2,1
333,1,2,1,1,2,0,0,2,2,1
77,2,2,2,0,0,0,0,1,1,1
286,2,0,0,1,2,2,1,1,2,1
788,1,2,0,2,1,2,0,0,1,0
