,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,education,marital_status,occupation,relationship,race,sex,native_country,target
34495,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,4.0,12.0,1.0,4.0,0.0,39.0,0
18591,2.0,0.0,2.0,0.0,1.0,1.0,5.0,2.0,2.0,4.0,0.0,4.0,1.0,39.0,0
12562,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,5.0,3.0,1.0,4.0,1.0,39.0,0
552,3.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,6.0,1.0,4.0,4.0,0.0,39.0,0
3479,1.0,0.0,4.0,0.0,0.0,1.0,7.0,12.0,4.0,4.0,1.0,4.0,0.0,39.0,0
40259,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,8.0,5.0,4.0,0.0,39.0,0
23462,0.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,4.0,4.0,1.0,4.0,0.0,39.0,0
30226,0.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0,4.0,14.0,1.0,4.0,0.0,39.0,0
44653,1.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
18603,1.0,0.0,3.0,0.0,0.0,4.0,6.0,8.0,0.0,8.0,4.0,4.0,0.0,39.0,0
31921,0.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,1.0,5.0,4.0,0.0,39.0,0
12067,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,3.0,7.0,1.0,4.0,1.0,31.0,0
40575,2.0,0.0,3.0,0.0,0.0,2.0,5.0,9.0,0.0,12.0,1.0,4.0,0.0,39.0,0
32148,0.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,10.0,0.0,4.0,1.0,39.0,0
48710,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
32305,1.0,1.0,2.0,0.0,0.0,2.0,4.0,15.0,2.0,12.0,0.0,4.0,1.0,39.0,1
29948,1.0,0.0,3.0,0.0,0.0,1.0,7.0,9.0,4.0,10.0,1.0,4.0,0.0,39.0,0
8739,1.0,0.0,2.0,0.0,0.0,3.0,6.0,11.0,4.0,5.0,1.0,4.0,1.0,39.0,0
16642,0.0,0.0,2.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,3.0,4.0,1.0,39.0,0
41913,1.0,1.0,4.0,0.0,0.0,2.0,4.0,14.0,2.0,4.0,0.0,4.0,1.0,39.0,1
30327,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,4.0,12.0,3.0,4.0,0.0,39.0,0
15001,1.0,0.0,4.0,0.0,0.0,2.0,4.0,12.0,2.0,10.0,0.0,4.0,1.0,39.0,1
33385,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,13.0,0.0,4.0,1.0,39.0,0
20319,2.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,8.0,2.0,4.0,0.0,39.0,0
38197,3.0,0.0,4.0,0.0,0.0,3.0,4.0,12.0,0.0,10.0,1.0,4.0,1.0,5.0,1
305,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,1.0,4.0,0.0,39.0,0
33517,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,8.0,0.0,4.0,1.0,39.0,0
22994,1.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,2.0,14.0,0.0,4.0,1.0,39.0,0
43529,2.0,0.0,3.0,0.0,0.0,3.0,4.0,9.0,2.0,12.0,0.0,4.0,1.0,39.0,0
22985,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,3.0,0.0,4.0,1.0,39.0,1
28721,4.0,0.0,2.0,0.0,0.0,1.0,6.0,11.0,2.0,8.0,0.0,4.0,1.0,39.0,0
8891,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,4.0,12.0,3.0,4.0,0.0,39.0,0
4145,1.0,0.0,3.0,0.0,0.0,2.0,4.0,9.0,2.0,10.0,5.0,4.0,0.0,20.0,1
3995,0.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0,4.0,1.0,4.0,4.0,0.0,39.0,0
35132,1.0,0.0,4.0,0.0,0.0,1.0,5.0,12.0,2.0,4.0,0.0,4.0,1.0,39.0,0
18112,1.0,0.0,2.0,0.0,0.0,2.0,1.0,15.0,2.0,4.0,0.0,4.0,1.0,39.0,1
34883,2.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,0.0,13.0,3.0,4.0,0.0,39.0,0
18753,0.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,4.0,0.0,3.0,4.0,0.0,39.0,0
24070,1.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0,0.0,1.0,1.0,1.0,0.0,39.0,0
39008,0.0,0.0,3.0,0.0,0.0,1.0,4.0,8.0,4.0,4.0,3.0,4.0,1.0,39.0,0
32608,2.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0,2.0,14.0,0.0,4.0,1.0,39.0,0
30106,2.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,1.0,0.0,4.0,1.0,39.0,1
25175,2.0,0.0,2.0,0.0,0.0,4.0,5.0,11.0,2.0,4.0,0.0,4.0,1.0,39.0,0
38604,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,8.0,2.0,4.0,1.0,39.0,0
24454,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,4.0,0.0,4.0,1.0,39.0,1
29173,3.0,0.0,1.0,0.0,0.0,1.0,6.0,5.0,2.0,12.0,0.0,4.0,1.0,39.0,1
13064,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,7.0,5.0,4.0,0.0,39.0,1
36277,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,12.0,0.0,2.0,1.0,39.0,0
45071,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,4.0,1.0,39.0,0
34393,3.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,1.0,4.0,0.0,39.0,0
1500,1.0,1.0,3.0,0.0,0.0,4.0,5.0,9.0,2.0,4.0,0.0,4.0,1.0,39.0,1
8229,1.0,0.0,3.0,0.0,0.0,2.0,4.0,8.0,4.0,13.0,1.0,4.0,1.0,39.0,0
39074,2.0,0.0,2.0,0.0,0.0,2.0,5.0,11.0,2.0,12.0,0.0,4.0,1.0,5.0,0
38633,1.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,2.0,13.0,0.0,4.0,1.0,39.0,1
21954,1.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,2.0,6.0,0.0,4.0,1.0,39.0,0
41563,1.0,0.0,3.0,0.0,0.0,2.0,4.0,9.0,2.0,13.0,0.0,4.0,1.0,39.0,0
17370,1.0,0.0,4.0,0.0,0.0,2.0,2.0,12.0,5.0,4.0,4.0,2.0,1.0,39.0,1
21325,1.0,1.0,3.0,0.0,0.0,2.0,4.0,7.0,4.0,10.0,1.0,4.0,1.0,39.0,1
21939,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,1.0,3.0,4.0,0.0,39.0,0
