,buying,maint,doors,persons,lug_boot,safety,target
1120,2,2,1,1,1,2,0
1000,2,0,1,0,2,2,2
1504,1,0,3,2,2,2,0
1202,2,1,0,1,1,0,1
353,3,1,1,0,2,0,2
550,0,0,0,1,2,2,2
954,2,3,3,1,2,1,2
1282,2,1,3,1,1,2,1
687,0,2,1,1,1,1,2
244,3,2,1,0,2,2,2
18,3,3,0,2,2,1,2
340,3,1,0,1,0,2,0
1275,2,1,3,0,0,1,2
1642,1,1,0,2,1,2,0
1312,1,3,0,1,0,2,0
809,0,1,1,2,0,0,0
997,2,0,0,2,0,2,0
154,3,0,1,2,2,2,2
267,3,2,1,2,0,1,2
286,3,2,2,1,0,2,0
1402,1,3,3,2,0,2,0
463,0,3,1,0,1,2,2
234,3,2,0,2,2,1,2
685,0,2,1,1,2,2,2
1332,1,3,1,1,2,1,2
780,0,1,0,2,0,1,2
878,2,3,0,1,1,0,0
987,2,0,0,1,0,1,2
1363,1,3,2,1,1,2,0
1540,1,2,1,0,2,2,2
276,3,2,2,0,0,1,2
746,0,2,3,1,0,0,0
916,2,3,1,2,0,2,0
1267,2,1,2,2,0,2,1
932,2,3,2,1,1,0,0
1662,1,1,1,1,0,1,2
1147,2,2,2,1,1,2,0
968,2,3,3,2,1,0,0
1371,1,3,2,2,1,1,2
1058,2,0,3,0,1,0,2
1043,2,0,2,1,0,0,0
1093,2,2,0,1,1,2,0
807,0,1,1,2,0,1,2
1251,2,1,2,1,2,1,2
1284,2,1,3,1,0,1,2
447,0,3,0,1,0,1,2
1541,1,2,1,0,2,0,2
1585,1,2,2,2,2,2,0
180,3,0,2,2,2,1,2
122,3,0,0,1,1,0,2
1107,2,2,1,0,2,1,2
70,3,3,2,1,0,2,2
1566,1,2,2,0,2,1,2
1457,1,0,1,2,0,0,3
1522,1,2,0,1,2,2,0
1692,1,1,2,2,2,1,2
551,0,0,0,1,2,0,0
437,0,3,0,0,1,0,2
335,3,1,0,1,2,0,0
1286,2,1,3,1,0,0,3
1278,2,1,3,1,2,1,2
401,3,1,2,2,1,0,0
1727,1,1,3,2,0,0,3
453,0,3,0,2,1,1,2
29,3,3,1,0,2,0,2
1266,2,1,2,2,0,1,2
214,3,0,3,2,0,2,2
937,2,3,2,2,2,2,2
1095,2,2,0,1,0,1,2
1235,2,1,1,2,2,0,1
270,3,2,2,0,2,1,2
1517,1,2,0,0,1,0,2
749,0,2,3,2,2,0,0
149,3,0,1,1,1,0,2
119,3,0,0,1,2,0,2
15,3,3,0,1,0,1,2
1440,1,0,1,1,2,1,2
1005,2,0,1,0,0,1,2
617,0,0,2,2,1,0,0
565,0,0,0,2,0,2,0
824,0,1,2,1,1,0,0
1581,1,2,2,1,0,1,2
1273,2,1,3,0,1,2,2
408,3,1,3,0,1,1,2
998,2,0,0,2,0,0,0
663,0,2,0,1,0,1,2
1365,1,3,2,1,0,1,2
1542,1,2,1,0,1,1,2
33,3,3,1,0,0,1,2
1190,2,1,0,0,2,0,2
1076,2,0,3,2,1,0,0
1398,1,3,3,2,1,1,2
1265,2,1,2,2,1,0,3
1723,1,1,3,2,1,2,1
1624,1,1,0,0,1,2,2
633,0,0,3,1,1,1,2
940,2,3,2,2,1,2,0
310,3,2,3,1,1,2,0
102,3,3,3,2,1,1,2
323,3,2,3,2,0,0,0
347,3,1,0,2,1,0,0
421,3,1,3,1,0,2,0
493,0,3,2,0,0,2,2
549,0,0,0,1,2,1,2
941,2,3,2,2,1,0,0
1607,1,2,3,1,1,0,3
1360,1,3,2,1,2,2,2
1714,1,1,3,1,1,2,1
1420,1,0,0,1,0,2,0
20,3,3,0,2,2,0,2
1099,2,2,0,2,2,2,2
881,2,3,0,1,0,0,0
1370,1,3,2,2,2,0,0
792,0,1,1,1,2,1,2
1638,1,1,0,2,2,1,2
1330,1,3,1,0,0,2,2
863,0,1,3,2,0,0,0
1247,2,1,2,0,1,0,2
1106,2,2,0,2,0,0,3
1572,1,2,2,0,0,1,2
1082,2,2,0,0,2,0,2
330,3,1,0,0,0,1,2
1195,2,1,0,0,0,2,2
822,0,1,2,1,1,1,2
1393,1,3,3,1,0,2,0
1586,1,2,2,2,2,0,1
661,0,2,0,1,1,2,2
131,3,0,0,2,1,0,2
1132,2,2,1,2,0,2,0
782,0,1,0,2,0,0,0
991,2,0,0,2,2,2,2
207,3,0,3,2,2,1,2
1067,2,0,3,1,1,0,0
1679,1,1,2,0,1,0,2
1394,1,3,3,1,0,0,0
1361,1,3,2,1,2,0,0
664,0,2,0,1,0,2,0
