,x_box,y_box,width,high,onpix,x_bar,y_bar,x2bar,y2bar,xybar,x2ybr,xy2br,x_ege,xegvy,y_ege,yegvx,target
7563,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,22
6911,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,0.0,3.0,0.0,2.0,2
3307,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,8
11099,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,18
18859,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,1.0,2.0,25
16573,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,2.0,5
16582,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,14
8383,0.0,2.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0,4.0,3.0,4.0,0.0,2.0,0.0,2.0,9
4915,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,14
14707,0.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,11
2967,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,19
17966,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,13
7728,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,24
5930,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,20
10244,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,0.0,4.0,0.0,1.0,19
13343,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,4
