,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,target
12777,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1
14238,0.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,1
3471,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,0
6270,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,0
15123,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,1
14750,2.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,1
4256,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,0
6175,1.0,1.0,3.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,0
4862,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,0
8261,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0
3008,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0
9058,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0
15,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,0
11861,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0
4721,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0
14942,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,1
18596,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1
14561,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1
3527,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0
18973,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1
6443,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0
15202,2.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1
8492,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0
701,1.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,0
7271,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0
13957,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1
9542,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,0
16729,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1
6823,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0
12549,1.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,1
15807,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1
931,1.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0
