,parents,has_nurs,form,children,housing,finance,social,health,target
11777,0,0,3,2,0,0,2,0,0
754,2,3,2,1,1,1,1,1,1
5124,1,3,2,2,1,1,2,2,1
9614,0,2,0,2,0,0,0,0,0
5307,1,2,0,2,0,1,1,2,1
9116,0,3,3,0,1,0,1,0,0
9388,0,3,2,1,1,1,0,1,3
11613,0,0,1,3,0,0,2,2,1
11261,0,0,0,0,2,1,0,0,0
1876,2,1,0,2,1,0,2,1,1
2939,2,0,1,2,2,0,2,0,0
4291,2,4,2,3,2,0,1,1,3
2920,2,0,1,2,0,0,2,1,1
1348,2,2,3,0,1,1,1,1,1
1472,2,2,3,3,0,1,2,0,0
3910,2,4,3,0,2,0,2,1,3
9791,0,2,1,1,0,1,1,0,0
10873,0,1,3,1,2,0,0,1,3
12853,0,4,2,2,0,0,0,1,3
2965,2,0,1,2,1,1,2,1,3
2510,2,1,2,2,2,0,1,0,0
9805,0,2,1,1,2,1,2,1,1
11790,0,0,3,2,2,0,0,2,3
3481,2,4,0,0,2,0,1,1,3
5745,1,2,3,2,2,0,2,2,1
9953,0,2,3,0,0,1,1,0,0
12689,0,4,3,2,1,1,1,0,0
2223,2,1,3,1,0,1,0,2,1
11742,0,0,3,1,2,0,1,2,3
8515,1,4,2,1,1,0,0,1,3
8908,0,3,1,0,1,1,1,1,3
10654,0,1,1,1,0,1,1,1,3
1910,2,1,0,3,2,0,0,0,0
2452,2,1,2,1,2,0,2,1,1
10777,0,1,1,3,2,1,2,1,3
7464,1,0,3,2,0,1,2,2,3
2371,2,1,3,3,1,1,2,1,1
3453,2,0,2,3,1,1,1,2,3
5955,1,2,2,2,0,1,1,2,1
6373,1,1,1,2,0,0,0,1,1
6427,1,1,1,3,0,0,0,1,1
6211,1,1,0,3,0,0,0,1,1
3964,2,4,3,1,2,0,2,1,3
700,2,3,2,0,1,1,1,1,1
2316,2,1,3,2,1,1,2,2,1
7327,1,0,1,3,1,0,0,1,3
1804,2,1,0,1,2,0,2,1,1
4569,1,3,1,0,2,1,1,2,1
9891,0,2,1,3,0,1,0,2,1
5299,1,2,0,2,0,0,1,1,1
5029,1,3,2,1,0,0,1,1,1
9018,0,3,1,3,0,0,0,2,1
7689,1,0,2,2,2,0,2,2,3
4429,1,3,0,2,0,0,0,1,1
8136,1,4,1,2,1,0,0,2,3
5828,1,2,3,3,1,1,2,0,0
7978,1,4,0,3,1,0,2,1,3
521,2,3,3,1,2,1,1,0,0
10511,0,1,0,2,2,1,1,0,0
12024,0,0,2,2,1,0,0,2,3
4127,2,4,2,0,2,0,2,0,0
4201,2,4,2,1,1,0,1,1,3
